"","observed","expected","sd","p.value"
"AEM gen",-0.0895,-0.0015,9e-04,0
"AEM spp",-0.0481,-0.0015,9e-04,0
"All Andropogoneae",-0.2223,-0.0021,0.0013,0
"All C3",-0.0863,-0.0022,0.0014,0
"All C4",-0.134,-0.0014,8e-04,0
"All Chloridoideae",-0.0996,-0.0015,9e-04,0
"All Micrairoideae",-0.1109,-0.0061,0.0036,0
"All Paniceae",-0.1195,-0.0022,0.0013,0
"All species",-0.103,-0.0013,8e-04,0
"Ancient gen",-0.0208,-0.0054,0.0041,2e-04
"Ancient spp",-0.0696,-0.0054,0.0041,0
"C3 AEM gen",-0.1103,-0.0022,0.0014,0
"C3 AEM spp",-0.0804,-0.0022,0.0014,0
"C3 Recent gen",-0.0396,-0.0057,0.0036,0
"C3 Recent spp",-0.0935,-0.0057,0.0036,0
"Early endemic gen",-0.0622,-0.003,0.0021,0
"Early endemic spp",-0.0148,-0.003,0.0022,0
"Early gen",-0.0949,-0.0027,0.0018,0
"Early native  spp",-0.1086,-0.0052,0.0031,0
"Early native gen",-0.0731,-0.0052,0.0031,0
"Early spp",-0.0259,-0.0027,0.0019,0
"Endemic Andropogoneae",-0.1952,-0.0031,0.002,0
"Endemic C3 Paniceae",-0.0906,-0.0024,0.0017,0
"Endemic C3",-0.1746,-0.0208,0.0129,0
"Endemic C4",-0.1352,-0.0015,9e-04,0
"Endemic Chloridoideae",-0.1097,-0.0017,0.001,0
"Endemic Paniceae",-0.1469,-0.0024,0.0015,0
"Endemic species",-0.0834,-0.0013,8e-04,0
"Height AEM",-0.0546,-0.0015,9e-04,0
"Height All",-0.0543,-0.001,6e-04,0
"Height C4",-0.082,-0.0011,7e-04,0
"Height Recent",-0.0615,-0.0012,7e-04,0
"Homegrown C4 gen",-0.0484,-0.0054,0.0031,0
"Homegrown C4 spp",-0.0821,-0.0055,0.0031,0
"Mid endemic gen",-0.1249,-0.0021,0.0013,0
"Mid endemic spp",-0.0666,-0.0021,0.0013,0
"Mid gen",-0.0987,-0.0018,0.0011,0
"Mid native gen",-0.0957,-0.0051,0.0038,0
"Mid native spp",-0.1687,-0.0051,0.0038,0
"Mid spp",-0.0667,-0.0018,0.0011,0
"Native Andropogoneae",-0.2662,-0.0028,0.0019,0
"Native C3 Paniceae",-0.0999,-0.004,0.0025,0
"Native C3",-0.1204,-0.0133,0.0096,0
"Native Chloridoideae",-0.0999,-0.0027,0.0016,0
"Native Paniceae",-0.0689,-0.0066,0.0048,0
"Native species",-0.1353,-0.0016,0.001,0
"Recent gen",-0.1254,-0.0012,7e-04,0
"Recent spp",-0.1253,-0.0014,8e-04,0
