,amt,ap,arid,clay,elev,ghm,iso,mdr,pawc,pcoldq,pdrym,pdryq,pewc,ps,pwarmq,pwetm,pwetq,rz,sp,st,tar,tcoldm,tcoldq,tdryq,th,ts,twarmm,twarmq,twetq
amt,1.00,0.04,-0.28,-0.13,-0.17,-0.54,0.55,0.52,-0.18,-0.74,-0.78,-0.76,-0.61,0.84,0.39,0.41,0.38,-0.03,-0.03,-0.02,0.11,0.83,0.93,0.53,-0.40,-0.12,0.88,0.92,0.85
ap,0.04,1.00,0.91,0.01,-0.14,0.17,0.58,-0.63,0.12,0.35,0.38,0.42,0.33,0.36,0.85,0.90,0.92,0.20,0.03,-0.03,-0.84,0.51,0.33,0.13,0.46,-0.81,-0.36,-0.28,-0.09
arid,-0.28,0.91,1.00,0.02,-0.08,0.28,0.32,-0.76,0.18,0.64,0.65,0.69,0.46,0.07,0.63,0.67,0.69,0.16,0.00,-0.05,-0.80,0.20,0.00,-0.06,0.56,-0.69,-0.61,-0.55,-0.34
clay,-0.13,0.01,0.02,1.00,-0.22,0.12,-0.13,-0.03,0.20,-0.04,0.21,0.20,0.25,-0.21,0.07,-0.06,-0.06,0.52,0.39,0.31,0.05,-0.14,-0.15,-0.29,0.01,0.09,-0.08,-0.09,0.02
elev,-0.17,-0.14,-0.08,-0.22,1.00,-0.11,-0.33,0.20,0.12,0.03,0.14,0.13,-0.07,-0.12,-0.09,-0.20,-0.21,-0.07,-0.08,-0.07,0.35,-0.35,-0.30,-0.33,0.42,0.37,0.02,-0.04,0.03
ghm,-0.54,0.17,0.28,0.12,-0.11,1.00,-0.19,-0.46,0.12,0.54,0.47,0.47,0.58,-0.32,-0.06,-0.03,-0.01,0.18,0.05,0.00,-0.28,-0.32,-0.42,-0.07,0.19,-0.13,-0.58,-0.57,-0.60
iso,0.55,0.58,0.32,-0.13,-0.33,-0.19,1.00,-0.02,-0.09,-0.27,-0.34,-0.32,-0.08,0.75,0.63,0.78,0.78,0.16,0.05,0.03,-0.61,0.83,0.78,0.52,-0.04,-0.82,0.17,0.20,0.24
mdr,0.52,-0.63,-0.76,-0.03,0.20,-0.46,-0.02,1.00,-0.07,-0.68,-0.62,-0.63,-0.59,0.23,-0.33,-0.37,-0.41,-0.04,0.04,0.09,0.80,0.01,0.25,0.07,-0.44,0.57,0.80,0.72,0.59
pawc,-0.18,0.12,0.18,0.20,0.12,0.12,-0.09,-0.07,1.00,0.13,0.31,0.31,0.19,-0.13,0.06,-0.01,-0.01,0.24,0.23,0.20,-0.02,-0.15,-0.17,-0.30,0.09,0.02,-0.16,-0.18,-0.07
pcoldq,-0.74,0.35,0.64,-0.04,0.03,0.54,-0.27,-0.68,0.13,1.00,0.77,0.78,0.58,-0.41,-0.07,0.00,0.03,0.08,-0.06,-0.09,-0.42,-0.42,-0.57,-0.20,0.46,-0.20,-0.81,-0.79,-0.74
pdrym,-0.78,0.38,0.65,0.21,0.14,0.47,-0.34,-0.62,0.31,0.77,1.00,0.99,0.58,-0.59,0.07,-0.03,0.00,0.14,0.04,0.00,-0.32,-0.51,-0.66,-0.55,0.58,-0.11,-0.80,-0.81,-0.60
pdryq,-0.76,0.42,0.69,0.20,0.13,0.47,-0.32,-0.63,0.31,0.78,0.99,1.00,0.58,-0.56,0.11,0.00,0.03,0.14,0.02,-0.02,-0.35,-0.48,-0.63,-0.53,0.59,-0.13,-0.79,-0.80,-0.58
pewc,-0.61,0.33,0.46,0.25,-0.07,0.58,-0.08,-0.59,0.19,0.58,0.58,0.58,1.00,-0.34,0.08,0.10,0.12,0.28,0.17,0.12,-0.45,-0.29,-0.42,-0.10,0.34,-0.30,-0.72,-0.70,-0.69
