"species","pp","sub_tribe","endemism","status","hgt"
"Acrachne racemosa","C4","Chloridoideae","native","Neo",100
"Agrostis australiensis","C3","C3","endemic","C3",20
"Agrostis bettyae","C3","C3","endemic","C3",90
"Agrostis diemenica","C3","C3","endemic","C3",35
"Agrostis joyceae","C3","C3","endemic","C3",40
"Agrostis muelleriana","C3","C3","endemic","C3",30
"Agrostis parviflora","C3","C3","endemic","C3",35
"Agrostis propinqua","C3","C3","endemic","C3",80
"Agrostis thompsoniae","C3","C3","endemic","C3",40
"Agrostis venusta","C3","C3","endemic","C3",40
"Alexfloydia repens","C4","Paniceae","endemic","Neo",24
"Amphibromus archeri","C3","C3","endemic","C3",120
"Amphibromus fluitans","C3","C3","endemic","C3",75
"Amphibromus macrorhinus","C3","C3","endemic","C3",100
"Amphibromus neesii","C3","C3","endemic","C3",150
"Amphibromus nervosus","C3","C3","endemic","C3",125
"Amphibromus pithogastrus","C3","C3","endemic","C3",100
"Amphibromus recurvatus","C3","C3","endemic","C3",150
"Amphibromus sinuatus","C3","C3","endemic","C3",70
"Amphibromus whitei","C3","C3","endemic","C3",35
"Amphipogon amphipogonoides","C3","C3","endemic","C3",40
"Amphipogon avenaceus","C3","C3","endemic","C3",35
"Amphipogon caricinus","C3","C3","endemic","C3",50
"Amphipogon debilis","C3","C3","endemic","C3",20
"Amphipogon laguroides","C3","C3","endemic","C3",30
"Amphipogon sericeus","C3","C3","endemic","C3",60
"Amphipogon setaceus","C3","C3","endemic","C3",60
"Amphipogon strictus","C3","C3","endemic","C3",35
"Amphipogon turbinatus","C3","C3","endemic","C3",50
"Ancistrachne maidenii","C3","C3","endemic","C3",100
"Ancistrachne uncinulata","C3","C3","endemic","C3",200
"Anisopogon avenaceus","C3","C3","endemic","C3",100
"Anthosachne fertilis","C3","C3","endemic","C3",NA
"Anthosachne multiflora","C3","C3","endemic","C3",NA
"Anthosachne plurinervis","C3","C3","endemic","C3",NA
"Anthosachne rectiseta","C3","C3","endemic","C3",58
"Anthosachne scabra","C3","C3","endemic","C3",120
"Arthragrostis aristispicula","C4","Paniceae","endemic","Neo",60
"Arthragrostis clarksoniana","C4","Paniceae","endemic","Neo",80
"Arthragrostis deschampsioides","C4","Paniceae","endemic","Neo",60
"Arthraxon castratus","C4","Andropogoneae","native","Neo",200
"Arthraxon hispidus","C4","Andropogoneae","native","Neo",75
"Arundinella grevillensis","C4","Andropogoneae","endemic","Neo",25
"Arundinella montana","C4","Andropogoneae","endemic","Neo",90
"Arundinella nepalensis","C4","Andropogoneae","native","Neo",180
"Arundinella setosa","C4","Andropogoneae","native","Neo",120
"Astrebla elymoides","C4","Chloridoideae","endemic","Neo",120
"Astrebla lappacea","C4","Chloridoideae","endemic","Neo",90
"Astrebla pectinata","C4","Chloridoideae","endemic","Neo",120
"Astrebla squarrosa","C4","Chloridoideae","endemic","Neo",150
"Australopyrum pectinatum","C3","C3","endemic","C3",60
"Australopyrum retrofractum","C3","C3","endemic","C3",95
"Australopyrum velutinum","C3","C3","endemic","C3",68
"Austrochloris dichanthioides","C4","Chloridoideae","endemic","Neo",100
"Austrostipa acrociliata","C3","C3","endemic","C3",150
"Austrostipa aphylla","C3","C3","endemic","C3",90
"Austrostipa aquarii","C3","C3","endemic","C3",100
"Austrostipa aristiglumis","C3","C3","endemic","C3",200
"Austrostipa bigeniculata","C3","C3","endemic","C3",100
"Austrostipa blackii","C3","C3","endemic","C3",100
"Austrostipa blakei","C3","C3","endemic","C3",100
"Austrostipa breviglumis","C3","C3","endemic","C3",150
"Austrostipa campylachne","C3","C3","endemic","C3",80
"Austrostipa centralis","C3","C3","endemic","C3",80
"Austrostipa compressa","C3","C3","endemic","C3",70
"Austrostipa crinita","C3","C3","endemic","C3",100
"Austrostipa curticoma","C3","C3","endemic","C3",120
"Austrostipa densiflora","C3","C3","endemic","C3",150
"Austrostipa dongicola","C3","C3","endemic","C3",100
"Austrostipa drummondii","C3","C3","endemic","C3",100
"Austrostipa echinata","C3","C3","endemic","C3",50
"Austrostipa elegantissima","C3","C3","endemic","C3",300
"Austrostipa eremophila","C3","C3","endemic","C3",100
"Austrostipa exilis","C3","C3","endemic","C3",60
"Austrostipa feresetacea","C3","C3","endemic","C3",100
"Austrostipa flavescens","C3","C3","endemic","C3",120
"Austrostipa geoffreyi","C3","C3","endemic","C3",180
"Austrostipa gibbosa","C3","C3","endemic","C3",150
"Austrostipa hemipogon","C3","C3","endemic","C3",100
"Austrostipa jacobsiana","C3","C3","endemic","C3",120
"Austrostipa juncifolia","C3","C3","endemic","C3",100
"Austrostipa lanata","C3","C3","endemic","C3",45
"Austrostipa macalpinei","C3","C3","endemic","C3",90
"Austrostipa metatoris","C3","C3","endemic","C3",100
"Austrostipa mollis","C3","C3","endemic","C3",150
"Austrostipa muelleri","C3","C3","endemic","C3",100
"Austrostipa multispiculis","C3","C3","endemic","C3",100
"Austrostipa mundula","C3","C3","endemic","C3",60
"Austrostipa nitida","C3","C3","endemic","C3",75
"Austrostipa nivicola","C3","C3","endemic","C3",50
"Austrostipa nodosa","C3","C3","endemic","C3",100
"Austrostipa nullanulla","C3","C3","endemic","C3",50
"Austrostipa nullarborensis","C3","C3","endemic","C3",100
"Austrostipa oligostachya","C3","C3","endemic","C3",100
"Austrostipa petraea","C3","C3","endemic","C3",100
"Austrostipa pilata","C3","C3","endemic","C3",85
"Austrostipa platychaeta","C3","C3","endemic","C3",200
"Austrostipa plumigera","C3","C3","endemic","C3",60
"Austrostipa puberula","C3","C3","endemic","C3",50
"Austrostipa pubescens","C3","C3","endemic","C3",150
"Austrostipa pubinodis","C3","C3","endemic","C3",110
"Austrostipa pycnostachya","C3","C3","endemic","C3",30
"Austrostipa ramosissima","C3","C3","endemic","C3",250
"Austrostipa rudis","C3","C3","endemic","C3",120
"Austrostipa scabra","C3","C3","native","C3",60
"Austrostipa semibarbata","C3","C3","endemic","C3",100
"Austrostipa setacea","C3","C3","endemic","C3",80
"Austrostipa stipoides","C3","C3","endemic","C3",120
"Austrostipa stuposa","C3","C3","endemic","C3",140
"Austrostipa tenuifolia","C3","C3","endemic","C3",100
"Austrostipa trichophylla","C3","C3","endemic","C3",60
"Austrostipa tuckeri","C3","C3","endemic","C3",50
"Austrostipa variabilis","C3","C3","native","C3",80
"Austrostipa velutina","C3","C3","endemic","C3",80
"Austrostipa verticillata","C3","C3","endemic","C3",100
"Austrostipa vickeryana","C3","C3","endemic","C3",45
"Austrostipa wakoolica","C3","C3","endemic","C3",100
"Bambusa arnhemica","C3","C3","endemic","C3",1000
"Bothriochloa biloba","C4","Andropogoneae","endemic","Neo",100
"Bothriochloa bunyensis","C4","Andropogoneae","endemic","Neo",60
"Bothriochloa decipiens","C4","Andropogoneae","endemic","Neo",200
"Bothriochloa erianthoides","C4","Andropogoneae","endemic","Neo",150
"Bothriochloa ewartiana","C4","Andropogoneae","endemic","Neo",60
"Bothriochloa macra","C4","Andropogoneae","endemic","Neo",100
"Brachyachne ciliaris","C4","Chloridoideae","endemic","Neo",25
"Brachyachne convergens","C4","Chloridoideae","endemic","Neo",60
"Brachyachne prostrata","C4","Chloridoideae","endemic","Neo",10
"Brachyachne tenella","C4","Chloridoideae","endemic","Neo",60
"Calyptochloa gracillima","C3","C3","endemic","C3",30
"Capillipedium parviflorum","C4","Andropogoneae","native","Neo",150
"Capillipedium spicigerum","C4","Andropogoneae","native","Neo",150
"Cenchrus basedowii","C4","Paniceae","endemic","Neo",70
"Cenchrus brevisetosus","C4","Paniceae","endemic","Neo",150
"Cenchrus caliculatus","C4","Paniceae","native","Neo",300
